OC,B11,B12,B4,B8,bai,bsi,slope,LST_Day_1km,elevation
0.46,0.1757,0.1215,0.0976,0.2032,48.75195173,0.67477673,2.922082,15047.08323,39
0.46,0.1736,0.1447,0.1054,0.1604,98.91861498,0.81973124,4.9387445,15051.57091,41
0.46,0.2866,0.211,0.1216,0.211,42.97829489,0.7881517,3.983408,14993.97488,50
0.46,0.2417,0.1848,0.1278,0.253,26.30067576,0.71402466,0.98883754,15011.12603,44
0.46,0.2981,0.2174,0.1136,0.2666,23.32713787,0.68388426,1.344865,14908.28175,60
0.46,0.1657,0.099,0.0672,0.238,30.52517764,0.49317506,0.038913358,14933.98631,48
0.46,0.1785,0.1049,0.1138,0.269,22.79387367,0.58491576,1.6001943,14891.53464,64
0.46,0.2407,0.1487,0.0841,0.32805,13.86893192,0.48830625,1.1886148,15012.28182,104
0.46,0.22035,0.13895,0.0846,0.3033,16.82593913,0.5054833,2.0256987,15020.52491,90
0.46,0.3414,0.2616,0.1666,0.2358,28.29558716,0.86087656,2.7812867,14983.19268,51
0.46,0.23685,0.1665,0.1438,0.2213,35.79593577,0.80015475,5.0346313,14983.26885,53
0.46,0.3229,0.3116,0.1778,0.2235,30.50167063,0.9145954,1.4754864,15019.17974,41
0.46,0.3023,0.2488,0.1406,0.223,35.43917487,0.8253497,0.34776014,14972.58301,61
0.46,0.2638,0.2159,0.1416,0.2146,39.01416079,0.83042973,0.5174194,14983.49613,60
0.46,0.1936,0.1286,0.1328,0.2448,28.38741295,0.7000536,1.6431073,14985.0197,56
