OC,B11,B12,B2,B3,B4,B8,bai,bsi,evi,lai,nbr,ndmi,ndvi,ndwi,savi,slope,LST_Day_1km,elevation
0.75,0.1315,0.0826,0.0821,0.0842,0.0775,0.1354,161.5141093,0.73440367,0.147006538,0.23356248,0.24220183,0.014612182,0.27195865,0.23315117,0.121826336,1.20188,14964.5857,58
0.75,0.17995,0.11915,0.0859,0.1025,0.0953,0.2345,32.81664395,0.6063905,0.299470789,0.496770204,0.32616997,0.13162023,0.42207402,0.39169142,0.251626914,3.0340006,14953.60129,56
0.25,0.2342,0.18185,0.0898,0.11,0.1115,0.1901,58.62262665,0.78868127,0.165738858,0.288529615,0.022180395,-0.1039359,0.26061007,0.26691103,0.147080832,1.457722,15030.44366,60
0.25,0.244,0.1679,0.0724,0.0946,0.0934,0.2852,19.70109503,0.5766939,0.368109936,0.653051377,0.25888327,0.07785336,0.50660324,0.5018431,0.327452762,1.3133245,15039.57072,71
0.25,0.1605,0.0834,0.0976,0.1206,0.1292,0.2974,17.47903429,0.5582983,0.313665527,0.547944901,0.56197476,0.29897356,0.39428037,0.4229665,0.272285779,1.4666882,15042.02519,53
0.25,0.294,0.2963,0.1256,0.1588,0.1766,0.2188,32.16985992,0.91807413,0.078943429,0.141448581,-0.15045622,-0.14664587,0.10672737,0.15889828,0.070694661,1.5019526,15054.66088,46
0.25,0.2832,0.2187,0.0896,0.1152,0.1364,0.26,24.19845279,0.7418007,0.21970988,0.413906676,0.086275294,-0.04270988,0.31180623,0.3859275,0.206827297,2.0281954,15049.02716,51
0.25,0.2063,0.1358,0.0693,0.1018,0.0777,0.316,15.14387493,0.4725542,0.471899925,0.800008775,0.39884907,0.21003255,0.60528326,0.5126855,0.399966457,1.1258264,15049.6488,48
0.25,0.1871,0.1249,0.0761,0.1116,0.0944,0.2988,17.52639599,0.5175832,0.394762226,0.686519829,0.4104319,0.2298827,0.5198372,0.45614034,0.34326017,1.5338408,15050.96187,41
0.25,0.1681,0.098,0.0428,0.0691,0.0619,0.2514,26.25666528,0.4576417,0.363919179,0.687467139,0.43903837,0.19856972,0.60485154,0.5687987,0.349502018,0.66874367,14934.11982,47
0.25,0.2765,0.2687,0.1282,0.1596,0.1742,0.225,30.55241411,0.8971035,0.097042857,0.169677239,-0.08851531,-0.10269191,0.1272545,0.17004678,0.084741986,3.5474958,14979.87782,50
